index,Address,Possesion,Furnishing,Buildup_area,Carpet_area,Bathrooms,Property_age,Parking,Price,Brokerage,Floor,Per_sqft_price,BHK,Total_bedrooms
6250,"Arihant housing society, Sai Nagar, Kandivali West, Mumbai",Ready to move,Semi Furnished,615,508.0431495,1,12,0,14500000,14500000,7,23580,2,2
6523,"5 year  tower, I C Colony, Borivali West, Mumbai",Ready to move,Semi Furnished,1200,724.7725583,3,5,1,18500000,18500000,13,15420,2,2
4286,"Windsor Grande Residences, Mhada Colony, Andheri West, Mumbai",Ready to move,Semi Furnished,3300,2300,5,6,3,125000000,1250000,32,37880,4,4
5038,"Maharashtra Nagar, Borivali West, Mumbai",Ready to move,Unfurnished,800,642.5706816,1,25,1,16000000,16000000,4,20000,2,2
8491,"Bandra West, Mumbai",Ready to move,Semi Furnished,2000,1602.32121,4,10,2,85000000,85000000,12,42500,3,3
9046,"Tata Shubh Griha, Maan, Boisar, Mumbai",Ready to move,Unfurnished,465,380,1,10,1,1250000,25000,5.107900016,2690,1,1
323,"UK Iridium, Hanuman Nagar, Kandivali East, Mumbai",Ready to move,Semi Furnished,900,518,2,1,1,13000000,110000,27,14440,2,2
7124,"Ajmera Zeon, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,1192,994,2,1,1,30500000,290000,40,25590,2,2
218,"Parinee Essence, Ambedkar Nagar, Kandivali West, Mumbai",Ready to move,Unfurnished,980,575,2,3,1,12000000,0,21,12240,2,2
1934,"Shraddha Prestige, Pirojshanagar, Vikhroli East, Mumbai",Ready to move,Unfurnished,500,399,2,2,0,8500000,100000,23,17000,1,1
8660,"Excellent chs, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,1050,740.1822248,1,10,0,19500000,19500000,7,18570,3,3
4595,"Tilak Nagar, Chembur, Mumbai",Ready to move,Fully Furnished,600,600,2,12,1,15000000,150000,10,25000,2,2
1469,"Panchamratna Park, Mira Road East, Mumbai",Ready to move,Semi Furnished,640,420,2,4,1,6900000,88999,12,10780,1,1
3053,"prathmesh kandivali east , Saraf Chaudhary Nagar, Kandivali East, Mumbai",Ready to move,Semi Furnished,550,429.9938774,1,20,1,10000000,10000000,7,18180,1,1
4106,"Shapoorji Pallonji Vicinia, Chandivali, Powai, Mumbai",Ready to move,Semi Furnished,900,671,2,1,1,23000000,230000,21,25550,2,2
5046,"Hiranandani Glen Dale, Sainath Nagar, Powai, Mumbai",Ready to move,Semi Furnished,2700,2030,2,15,3,95000000,950000,32,35190,3,3
4534,"Lodha Splendora ghodbunder road, Bhayandarpada, Thane West, Mumbai",Ready to move,Semi Furnished,890,670.8381922,1,5,1,10000000,10000000,28,11230,2,2
4666,"Sri Garden Avenue K, Global City, Virar West, Mumbai",Ready to move,Unfurnished,640,431,2,5,0,3500000,0,15,5470,1,1
9290,"Florence, Navagaon, Dahisar West, Mumbai",Ready to move,Unfurnished,550,440,2,30,0,8500000,85000,7,15450,1,1
5285,"Rite Skyluxe, Swastik Park, Chembur, Mumbai",Ready to move,Semi Furnished,850,700,2,5,2,20000000,200000,15,23530,2,2
5951,"K Raheja Interface Heights, Mindspace, Malad West, Mumbai",Ready to move,Semi Furnished,1000,840,2,5,1,24000000,240000,20,24000,2,2
194,"Skyline Magnus, Pant Nagar, Ghatkopar East, Mumbai",Ready to move,Semi Furnished,1610,1400,3,1,0,41800000,0,12,25960,3,3
1144,"Chaitanya Anand CHSL, Tepgaon, Andheri West, Mumbai",Ready to move,Semi Furnished,500,367,1,1,1,14300000,5726936.663,13,28600,1,1
2018,"Sahajanand Athena, Jawahar Nagar, Goregaon West, Mumbai",Ready to move,Semi Furnished,550,391,2,1,1,11000000,100000,22,20000,1,1
7584,"Amardeep Chembur, Chembur Gaothan, Chembur, Mumbai",Ready to move,Unfurnished,1850,1077.534751,1,1,2,38500000,38500000,15,20810,3,3
5032,"Rameshwar tower dadar West, Dadar West, Mumbai",Ready to move,Semi Furnished,1800,1366.989643,1,15,1,70000000,70000000,22,38890,3,3
9542,"P&T Staff Colony, Mulund West, Mumbai",Ready to move,Fully Furnished,1100,733.7725301,1.392111373,45,1,18500000,18500000,6,16820,3,1.999999973
4551,"Godrej Prime, Sahakar Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,810,650,2,5,2,19000000,190000,15,23460,2,2
2621,"Om Shree Tirupati Balaji Tirupati Pooja, Navghar Gaon, Bhayandar East, Mumbai",Ready to move,Semi Furnished,695,400,2,5,1,7000000,150000,15,10070,1,1
6127,"Samta Ostwal Empire M1 And M2, Boisar, Mumbai",Ready to move,Semi Furnished,865,700,2,20,1,4500000,85111.00428,3,5200,2,2
3184,"vinayak apt, Chincholi Bunder, Malad West, Mumbai",Ready to move,Semi Furnished,600,420,1,10,1,11000000,110000,6,18330,1,1
6533,"B L Tower, I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,1000,769.5246551,1,3,1,13000000,13000000,10,13000,2,2
3165,"Salangpur Salasar Aarpan, Pandurang Wadi, Mira Road East, Mumbai",Ready to move,Semi Furnished,730,490,2,7,1,6550000,64000,8,8970,1,1
6996,"RUNWAL FOREST, Kanjurmarg West, Mumbai",Ready to move,Semi Furnished,600,448.2252091,1,2,1,12500000,12500000,38,20830,2,2
2925,"S R And Shah Surya Kirti Heights and Tower, Virar West, Mumbai",Ready to move,Unfurnished,800,450,2,5,0,3200000,37080.14399,12,4000,1,1
8899,"Modi space Amazon, Kastur Park, Borivali West, Mumbai",Ready to move,Unfurnished,500,400.0024559,1,5,1,12500000,12500000,7,25000,1,2
2795,"Laxmi Height, Mira Road East, Mumbai",Ready to move,Fully Furnished,740,534.5595076,2,8,1,8100000,159999.4314,16,10950,1,1
5780,"JSB Nakshatra Primus, Naigaon East, Mumbai",Ready to move,Unfurnished,500,260,1,5,1,2552000,52473.40828,14,5100,1,1
4042,"Ajmera Bhakti Park, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,585,450,1,12,0,12100000,120000,14,20680,1,1
321,"Mallhar Bhimashankar Heights, Anand Park, Dahisar West, Mumbai",Ready to move,Unfurnished,920,770,2,1,1,19500000,190000,20,21200,2,2
2719,"Ideal Tower, Bharti Nagar, Mira Road East, Mumbai",Ready to move,Semi Furnished,630,444.2757725,1,9,1,7200000,140000,16,11430,1,1
9468,"Vinayak Angan Prabhjadevi, Prabhadevi, Mumbai",Ready to move,Unfurnished,1400,1050.003203,1,22,2,47500000,47500000,15,33930,2,2
4519,"Sai Pradyana Apartment, Tilak Nagar, Chembur, Mumbai",Ready to move,Fully Furnished,630,490.0024072,1,10,1,15500000,15500000,13,24600,2,2
7154,"Premier Colony, Kurla West, Mumbai",Ready to move,Unfurnished,900,600,2,4,0,12500000,130000,6,13890,2,2
6363,"Chembur East, Chembur, Mumbai",Ready to move,Unfurnished,730,685.479166,1,1,1,19500000,19500000,13,26710,2,2
2792,"Bhayandar East, Mumbai",Ready to move,Semi Furnished,675,414.8325344,1.999999902,12,1,6500000,58187.39421,7,9630,1,1
4776,"Sheth Vasanth Utsav Complex, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,750,585,2,20,1,16500000,160000,8,22000,2,2
3206,"ACME Complex, Prem Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,510,407,2,15,1,12000000,120000,7,23530,1,1
